iter	RMSE
0	0.3048711403
1	0.3018523672
2	0.2989962592
3	0.2961118883
4	0.2933656605
5	0.2907911489
6	0.2882336851
7	0.2856226118
8	0.2831202387
9	0.2806633154
10	0.278399596
11	0.2760392904
12	0.2739789941
13	0.271775155
14	0.2697890752
15	0.267805553
16	0.2664234177
17	0.2650113765
18	0.2634915897
19	0.2617567179
20	0.2601784394
21	0.258593845
22	0.2571208928
23	0.2555697842
24	0.2540706349
25	0.2530044357
26	0.2516843312
27	0.2502712586
28	0.2489074625
29	0.2479272659
30	0.2469532621
31	0.2457874985
32	0.2447224269
33	0.2434493672
34	0.2423217482
35	0.2415224287
36	0.240700587
37	0.2396895266
38	0.2388612781
39	0.2381406827
40	0.2373192098
41	0.2363461613
42	0.2355180844
43	0.2347332451
44	0.2338500046
45	0.2332456412
46	0.2325931078
47	0.2317953377
48	0.2309078641
49	0.2302914382
50	0.2297545554
51	0.2292729606
52	0.2285810065
53	0.2280366634
54	0.2274695973
55	0.2269136492
56	0.2262792064
57	0.2256596466
58	0.224872881
59	0.224434521
60	0.2240015725
61	0.2234913238
62	0.2229870638
63	0.22260628
64	0.2221856569
65	0.2217554633
66	0.2211004742
67	0.2206084669
68	0.2202121638
69	0.2197205061
70	0.2192694101
71	0.2188530223
72	0.2184641212
73	0.2180799524
74	0.2177103808
75	0.2173421715
76	0.2169917393
77	0.2165490672
78	0.2162115774
79	0.2158483311
80	0.215600288
81	0.2151282508
82	0.2150060382
83	0.2146254201
84	0.2142374924
85	0.21410353
86	0.2140278693
87	0.2137924134
88	0.2135462363
89	0.2132632083
90	0.2129432212
91	0.2127056226
92	0.2123001009
93	0.2119373761
94	0.2117290338
95	0.2116387096
96	0.2116158727
97	0.211250474
98	0.2110518076
99	0.2108226617
100	0.2105929924
101	0.2102261273
102	0.2099251926
103	0.2097872989
104	0.2095738989
105	0.2093044906
106	0.2090752762
107	0.2088743816
108	0.2087295995
109	0.2084971031
110	0.20830245
111	0.2081080713
112	0.2078888774
113	0.2076728527
114	0.2076074478
115	0.2074726846
116	0.2072712373
117	0.2071878555
118	0.2068162162
119	0.2065856216
120	0.2064127341
121	0.2061999253
122	0.2060766263
123	0.205813423
124	0.205579153
125	0.2055611815
126	0.2053154656
127	0.2052836816
128	0.2049914909
129	0.2046594825
130	0.2044490249
131	0.2042137045
132	0.2038864631
133	0.2036899335
134	0.2033946445
135	0.2031571272
136	0.2030885283
137	0.2029879277
138	0.2027672812
139	0.2025607968
140	0.2024770786
141	0.2024609549
142	0.2022872644
143	0.2021188141
144	0.2020193648
145	0.201873195
146	0.2017286495
147	0.2015407947
148	0.2013478482
149	0.2010653893
150	0.200919707
151	0.2009045751
152	0.2008896655
153	0.2007283389
154	0.2007138514
155	0.2004911873
156	0.2002736854
157	0.2001377051
158	0.2000123089
159	0.1997331749
160	0.1995707017
161	0.1993290841
162	0.1991825618
163	0.199169008
164	0.1989246687
165	0.1987267302
166	0.1986121558
167	0.1984679088
168	0.1983481003
169	0.1983352036
170	0.1982877492
171	0.1980635846
172	0.1978526137
173	0.1976759907
174	0.1975164385
175	0.1973727503
176	0.1972677604
177	0.1972559716
178	0.1970980392
179	0.1970857759
180	0.1969475794
181	0.1969362442
182	0.1967608975
183	0.1966889933
184	0.196632996
185	0.1964887879
186	0.1963612963
187	0.1961046036
188	0.195934974
189	0.1957660705
190	0.1955504786
191	0.1954171386
192	0.1951556908
193	0.1949995332
194	0.1948302494
195	0.1946420332
196	0.1945779596
197	0.1945186525
198	0.194350196
199	0.1942834286
200	0.1942132727
201	0.1940003695
202	0.1939901412
203	0.1938410711
204	0.1936792166
205	0.1936186105
206	0.1935396373
207	0.1933827041
208	0.1930973529
209	0.1929643326
210	0.1927849704
211	0.1925433821
212	0.1923643645
213	0.1921627323
214	0.1920666831
215	0.192058772
216	0.1919853769
217	0.1919762164
218	0.1919004508
219	0.1918003278
220	0.1915934241
221	0.1914843512
222	0.19141775
223	0.1912614703
224	0.1912014172
225	0.191116033
226	0.1911076103
227	0.1909673638
228	0.1908247614
229	0.1908053335
230	0.1905398456
231	0.1904914431
232	0.1903986354
233	0.1902534999
234	0.1901152865
235	0.1900314028
236	0.1899002776
237	0.1898048006
238	0.1896888505
239	0.1896646444
240	0.1896570236
241	0.1895354167
242	0.1894530517
243	0.1893276966
244	0.1891975655
245	0.1890919273
246	0.1889749167
247	0.188897878
248	0.1887786912
249	0.1886036758
250	0.1885270127
251	0.1884797801
252	0.1883639246
253	0.1882606755
254	0.1880175763
255	0.1878752296
256	0.1878074036
257	0.1877644515
258	0.1877248444
259	0.1875916035
260	0.1874506815
261	0.1873153691
262	0.1871884893
263	0.1870807184
264	0.1869802728
265	0.1869737975
266	0.1869674174
267	0.1868831453
268	0.1868361457
269	0.1866615533
270	0.1864005164
271	0.1863272559
272	0.1862905417
273	0.1862139704
274	0.1861024601
275	0.1859772517
276	0.1858433675
277	0.1857748612
278	0.1857377602
279	0.1856830606
280	0.1856774427
281	0.1855614095
282	0.1854000663
283	0.185286042
284	0.1852302549
285	0.1851553758
286	0.1849997141
287	0.1847736332
288	0.1846616095
289	0.1846302664
290	0.1845850215
291	0.1845137423
292	0.1844189509
293	0.1841961843
294	0.18412055
295	0.18398911
296	0.1838442145
297	0.1836416197
298	0.18353027
299	0.1834785368
300	0.1833168617
301	0.1832441278
302	0.183193462
303	0.1831564999
304	0.1830544309
305	0.1828855706
306	0.1827190059
307	0.1826037474
308	0.1824394205
309	0.1821730166
310	0.1821255462
311	0.1820013832
312	0.181859252
313	0.1818180164
314	0.1817815869
315	0.1816166694
316	0.1815710899
317	0.1814087353
318	0.1812411776
319	0.1811527894
320	0.1810880521
321	0.1810084935
322	0.180945306
323	0.1808993421
324	0.1808586027
325	0.1807689806
326	0.1807161602
327	0.180496824
328	0.1803137404
329	0.1802134302
330	0.1800516383
331	0.1799827975
332	0.1799708574
333	0.1797628192
334	0.179728266
335	0.179627606
336	0.1794918484
337	0.1794667411
338	0.1794164205
339	0.1793810249
340	0.1793503742
341	0.1792141163
342	0.1790700245
343	0.1790318285
344	0.1788725896
345	0.1787377048
346	0.1787018733
347	0.1786015965
348	0.1785664074
349	0.1783740931
350	0.1783479382
351	0.1782368467
352	0.1781623154
353	0.1779752357
354	0.1779324692
355	0.177850947
356	0.1777087093
357	0.1775382028
358	0.1774121467
359	0.1772244221
360	0.1770391323
361	0.1769333481
362	0.1769078733
363	0.1767962043
364	0.176711483
365	0.1765477777
366	0.1765186537
367	0.1764944964
368	0.1763712653
369	0.176187006
370	0.1761405735
371	0.1760446283
372	0.1759185954
373	0.1758242838
374	0.1757755051
375	0.1757599669
376	0.1756325086
377	0.1755297497
378	0.1752995262
379	0.1751123535
380	0.1750221393
381	0.1750101503
382	0.174986077
383	0.1748281013
384	0.1747116529
385	0.1746243189
386	0.1745665241
387	0.1744878889
388	0.1744564497
389	0.1742430684
390	0.1742218557
391	0.1741314078
392	0.1740294933
393	0.1739871577
394	0.1738644799
395	0.1737668833
396	0.1736575128
397	0.1736155948
398	0.1735422433
399	0.1734732066
400	0.1733023634
401	0.1732825881
402	0.1732627797
403	0.1731886779
404	0.1730645478
405	0.1729589008
406	0.1728966048
407	0.1728685888
408	0.1728475283
409	0.1727468325
410	0.1726219407
411	0.1726011608
412	0.1725767596
413	0.1723812458
414	0.1723535019
415	0.1722194494
416	0.1721266472
417	0.1720900834
418	0.1719149866
419	0.171864295
420	0.1717418793
421	0.1717137945
422	0.1716453526
423	0.1715720597
424	0.1715128169
425	0.1714955522
426	0.1713764893
427	0.17136158
428	0.1712033022
429	0.1711854433
430	0.1710914016
431	0.1710402943
432	0.170965937
433	0.1707824263
434	0.1706952787
435	0.1706061311
436	0.1705849228
437	0.1704344935
438	0.1702939583
439	0.1701933376
440	0.1701580881
441	0.170119812
442	0.1699818867
443	0.1698830233
444	0.1698178379
445	0.1697360944
446	0.169720263
447	0.1695491141
448	0.1695278924
449	0.1694116368
450	0.1693649212
451	0.1693210168
452	0.1692806426
453	0.1691867213
454	0.1690394249
455	0.1688962138
456	0.1687606387
457	0.1686535214
458	0.1686209728
459	0.1686024495
460	0.1684952263
461	0.1684243698
462	0.1683017024
463	0.1682827545
464	0.1682658887
465	0.1682028489
466	0.1681574284
467	0.1680450573
