iter	Passed	Remaining
0	47	43075
1	96	43431
2	154	46080
3	204	45704
4	262	46955
5	318	47476
6	375	47964
7	433	48380
8	488	48323
9	548	48805
10	602	48664
11	678	50230
12	755	51533
13	820	51910
14	883	52113
15	952	52605
16	1015	52746
17	1081	52970
18	1146	53140
19	1209	53238
20	1276	53424
21	1350	53906
22	1423	54262
23	1488	54327
24	2268	79388
25	2481	83416
26	2668	86288
27	2803	87311
28	3032	91065
29	3215	93255
30	3313	92896
31	3412	92562
32	3494	91797
33	3569	90916
34	3641	90007
35	3728	89476
36	3807	88796
37	3890	88245
38	3976	87778
39	4056	87218
40	4178	87538
41	4288	87616
42	4400	87710
43	4497	87491
44	4588	87185
45	4668	86674
46	4750	86224
47	4819	85545
48	4900	85111
49	4976	84599
50	5046	84015
51	5119	83494
52	5189	82927
53	5255	82328
54	5327	81847
55	5427	81802
56	5520	81649
57	5590	81157
58	5657	80643
59	5724	80136
60	5794	79695
61	5879	79471
62	5952	79080
63	6024	78689
64	6093	78284
65	6161	77859
66	6230	77456
67	6297	77054
68	6365	76659
69	6444	76417
70	6515	76071
71	6579	75664
72	6644	75271
73	6707	74866
74	6772	74499
75	6847	74244
76	6918	73946
77	6986	73631
78	7055	73325
79	7124	73024
80	7190	72699
81	7257	72401
82	7323	72088
83	7392	71808
84	7470	71627
85	7535	71320
86	7601	71030
87	7675	70822
88	7788	70967
89	7867	70809
90	7939	70582
91	8008	70338
92	8072	70050
93	8136	69768
94	8196	69452
95	8244	69050
96	8265	68428
97	8324	68122
98	8383	67826
99	8441	67531
100	8505	67285
101	8566	67021
102	8623	66728
103	8680	66437
104	8737	66156
105	8796	65892
106	8862	65684
107	8923	65436
108	8991	65250
109	9054	65026
110	9117	64810
111	9178	64580
112	9242	64369
113	9305	64158
114	9372	63975
115	9438	63789
116	9504	63604
117	9533	63182
118	9596	62980
119	9658	62781
120	9722	62591
121	9787	62415
122	9857	62267
123	9929	62139
124	10068	62421
125	10095	62013
126	10165	61871
127	10199	61512
128	10268	61370
129	10337	61231
130	10408	61101
131	10481	60983
132	10550	60843
133	10614	60679
134	10677	60503
135	10743	60353
136	10810	60209
137	10880	60080
138	10955	59979
139	11024	59848
140	11093	59716
141	11118	59350
142	11186	59216
143	11251	59072
144	11319	58939
145	11396	58856
146	11466	58735
147	11532	58596
148	11602	58478
149	11665	58326
150	11729	58181
151	11759	57869
152	11783	57528
153	11870	57501
154	11899	57194
155	11987	57171
156	12074	57142
157	12164	57126
158	12262	57149
159	12398	57340
160	12504	57395
161	12599	57395
162	12682	57341
163	12710	57042
164	12803	57035
165	12898	57034
166	13004	57078
167	13116	57150
168	13209	57136
169	13241	56858
170	13329	56824
171	13415	56780
172	13507	56761
173	13595	56724
174	13677	56665
175	13754	56580
176	13842	56543
177	13871	56265
178	13957	56219
179	13999	55997
180	14090	55971
181	14120	55707
182	14204	55652
183	14285	55590
184	14377	55567
185	14464	55525
186	14552	55485
187	14648	55478
188	14776	55586
189	14857	55518
190	14941	55462
191	15023	55399
192	15110	55354
193	15188	55273
194	15258	55165
195	15332	55072
196	15405	54973
197	15470	54848
198	15538	54734
199	15615	54652
200	15687	54555
201	15750	54424
202	15771	54151
203	15832	54016
204	15895	53888
205	15956	53756
206	16021	53635
207	16079	53494
208	16137	53354
209	16197	53219
210	16254	53076
211	16310	52930
212	16367	52789
213	16423	52646
214	16483	52518
215	16511	52287
216	16566	52141
217	16584	51882
218	16638	51738
219	16694	51600
220	16750	51463
221	16806	51329
222	16867	51206
223	16931	51098
224	17036	51108
225	17107	51020
226	17128	50782
227	17198	50689
228	17257	50567
229	17288	50363
230	17350	50248
231	17412	50135
232	17474	50024
233	17534	49904
234	17591	49781
235	17651	49663
236	17709	49540
237	17771	49431
238	17850	49370
239	17920	49280
240	17941	49058
241	18008	48965
242	18071	48859
243	18132	48749
244	18192	48636
245	18253	48526
246	18314	48418
247	18411	48404
248	18506	48385
249	18587	48327
250	18673	48283
251	18747	48208
252	18821	48131
253	18905	48082
