iter	Passed	Remaining
0	118	106705
1	273	122588
2	383	114769
3	474	106209
4	578	103549
5	683	101858
6	797	101721
7	873	97351
8	944	93494
9	1036	92222
10	1123	90773
11	1240	91770
12	1335	91134
13	1435	90852
14	1545	91209
15	1705	94202
16	1840	95617
17	1936	94881
18	2035	94360
19	2122	93373
20	2211	92562
21	2296	91634
22	2367	90290
23	2437	88984
24	2510	87870
25	2580	86758
26	2647	85602
27	2715	84566
28	2781	83555
29	2847	82571
30	2912	81638
31	2976	80736
32	3052	80199
33	3137	79912
34	3218	79548
35	3313	79527
36	3404	79407
37	3495	79301
38	3604	79569
39	3693	79404
40	3812	79875
41	3907	79826
42	4006	79855
43	4136	80480
44	4253	80825
45	4337	80534
46	4413	80092
47	4490	79709
48	4565	79297
49	4632	78752
50	4693	78124
51	4752	77508
52	4811	76900
53	4895	76696
54	4959	76191
55	5020	75666
56	5085	75214
57	5156	74863
58	5238	74673
59	5314	74409
60	5394	74193
61	5475	74002
62	5551	73750
63	5636	73626
64	5714	73403
65	5792	73192
66	5903	73395
67	5986	73242
68	6066	73064
69	6150	72925
70	6196	72350
71	6272	72130
72	6341	71844
73	6407	71518
74	6506	71575
75	6574	71282
76	6643	71011
77	6707	70685
78	6778	70445
79	6841	70124
80	6903	69803
81	6966	69497
82	7032	69225
83	7111	69078
84	7184	68884
85	7260	68721
86	7342	68614
87	7373	68041
88	7402	67455
89	7491	67421
90	7573	67332
91	7663	67301
92	7755	67297
93	7848	67293
94	7931	67208
95	8013	67109
96	8095	67018
97	8176	66910
98	8253	66775
99	8330	66641
100	8403	66480
101	8471	66273
102	8514	65882
103	8584	65708
104	8651	65503
105	8732	65410
106	8822	65383
107	8889	65192
108	8959	65019
109	9028	64839
110	9062	64415
111	9133	64261
112	9213	64165
113	9241	63717
114	9318	63606
115	9394	63495
116	9472	63389
117	9541	63232
118	9622	63152
119	9691	62992
120	9756	62813
121	9822	62640
122	9890	62479
123	9953	62289
124	10013	62085
125	10055	61768
126	10120	61601
