target,forecast_year,feature,importance
Revenue,2024,lag_std,1324.0
Revenue,2024,lag3,1323.0
Revenue,2024,t,1269.0
Revenue,2024,dow_mean,1268.0
Revenue,2024,lag1,1197.0
Revenue,2024,lag2,1133.0
Revenue,2024,baseline,1061.0
Revenue,2024,md_mean,1012.0
Revenue,2024,dow_month,941.0
Revenue,2024,wom_mean,847.0
Revenue,2024,md_recent,824.0
Revenue,2024,day,762.0
Revenue,2024,cos_3,762.0
Revenue,2024,lag_mean,724.0
Revenue,2024,dow,665.0
Revenue,2024,sin_2,642.0
Revenue,2024,cos_1,627.0
Revenue,2024,month_mean,573.0
Revenue,2024,sin_3,482.0
Revenue,2024,sin_1,472.0
Revenue,2024,cos_2,407.0
Revenue,2024,days_to_month_end,362.0
Revenue,2024,year,271.0
Revenue,2024,doy,260.0
Revenue,2024,woy,122.0
Revenue,2024,month,55.0
Revenue,2024,is_payday_window,47.0
Revenue,2024,lag_missing,43.0
Revenue,2024,is_month_end,35.0
Revenue,2024,weekend_promo,28.0
Revenue,2024,month_pos,24.0
Revenue,2024,urban,22.0
Revenue,2024,promo_any,21.0
Revenue,2024,yearend,13.0
Revenue,2024,is_weekend,6.0
Revenue,2024,is_month_start,6.0
Revenue,2024,week_of_month,4.0
Revenue,2024,is_last_7_days,3.0
Revenue,2024,fall,3.0
Revenue,2024,is_last_3_days,2.0
Revenue,2024,is_first_7_days,2.0
Revenue,2024,spring,2.0
Revenue,2024,rural,1.0
Revenue,2024,quarter,0.0
Revenue,2024,is_quarter_start,0.0
Revenue,2024,is_quarter_end,0.0
Revenue,2024,is_first_3_days,0.0
Revenue,2024,midyear,0.0
COGS,2024,lag_std,1602.0
COGS,2024,t,1455.0
COGS,2024,lag1,1300.0
COGS,2024,dow_mean,1292.0
COGS,2024,lag2,1137.0
COGS,2024,lag3,1135.0
COGS,2024,baseline,1040.0
COGS,2024,md_mean,1037.0
COGS,2024,dow_month,905.0
COGS,2024,wom_mean,870.0
COGS,2024,cos_3,856.0
COGS,2024,lag_mean,841.0
COGS,2024,dow,774.0
COGS,2024,day,732.0
COGS,2024,md_recent,667.0
COGS,2024,sin_2,602.0
COGS,2024,cos_1,597.0
COGS,2024,sin_3,587.0
COGS,2024,sin_1,490.0
COGS,2024,month_mean,443.0
COGS,2024,days_to_month_end,364.0
COGS,2024,cos_2,341.0
COGS,2024,doy,307.0
COGS,2024,year,196.0
COGS,2024,woy,97.0
COGS,2024,promo_any,76.0
COGS,2024,lag_missing,54.0
COGS,2024,is_payday_window,29.0
COGS,2024,month_pos,25.0
COGS,2024,month,20.0
COGS,2024,weekend_promo,18.0
COGS,2024,is_month_end,15.0
COGS,2024,urban,13.0
COGS,2024,yearend,7.0
COGS,2024,spring,6.0
COGS,2024,week_of_month,4.0
COGS,2024,is_last_3_days,4.0
COGS,2024,is_quarter_start,3.0
COGS,2024,is_first_7_days,3.0
COGS,2024,is_last_7_days,3.0
COGS,2024,fall,3.0
COGS,2024,is_weekend,2.0
COGS,2024,quarter,1.0
COGS,2024,is_month_start,1.0
COGS,2024,midyear,1.0
COGS,2024,is_quarter_end,0.0
COGS,2024,is_first_3_days,0.0
COGS,2024,rural,0.0
