year_month,n_days,mae,bias,underpredict_rate,stage,fold
2018-07,31,851551.4401839175,76217.66495338042,0.4838709677419355,tune,2018-06-30
2018-08,31,1665817.3130575612,-1581516.4575473524,0.9032258064516129,tune,2018-06-30
2018-09,30,1032063.1253300981,691375.2281797746,0.16666666666666666,tune,2018-06-30
2018-10,31,1236316.4633297282,1190725.5969514104,0.03225806451612903,tune,2018-06-30
2018-11,30,1139134.4693330077,1086980.0209500561,0.06666666666666667,tune,2018-06-30
2018-12,31,917307.6128087627,890526.495093034,0.0967741935483871,tune,2018-06-30
2019-01,31,733572.0577472624,565381.1787061184,0.16129032258064516,tune,2018-06-30
2019-02,28,1157336.1898392297,946487.0853154507,0.10714285714285714,tune,2018-06-30
2019-03,31,1763600.6610999287,1763600.6610999287,0.0,tune,2018-06-30
2019-04,30,3651365.1628036415,3651365.1628036415,0.0,tune,2018-06-30
2019-05,31,3823155.396531826,3823155.396531826,0.0,tune,2018-06-30
2019-06,30,3925643.127743886,3925643.127743886,0.0,tune,2018-06-30
2019-07,31,2560813.2390519725,2560813.2390519725,0.0,tune,2018-06-30
2019-08,31,1721775.7757254445,1721775.7757254445,0.0,tune,2018-06-30
2019-09,30,1871634.6892928183,1871634.6892928183,0.0,tune,2018-06-30
2019-10,31,2161986.0013835607,2161986.0013835607,0.0,tune,2018-06-30
2019-11,30,1449331.539813095,1449331.539813095,0.0,tune,2018-06-30
2019-12,30,1290382.848673602,1290382.848673602,0.0,tune,2018-06-30
2019-07,31,1036887.2496215994,1002455.9602801999,0.06451612903225806,tune,2019-06-30
2019-08,31,2031958.9822531773,2031958.9822531773,0.0,tune,2019-06-30
2019-09,30,864396.8613258298,830092.160653633,0.03333333333333333,tune,2019-06-30
2019-10,31,775682.6019551078,727517.6247180789,0.06451612903225806,tune,2019-06-30
2019-11,30,532509.6209234142,430425.72893203184,0.23333333333333334,tune,2019-06-30
2019-12,31,332588.07960590196,205432.99001586335,0.22580645161290322,tune,2019-06-30
2020-01,31,523141.58728060755,474972.01762199093,0.16129032258064516,tune,2019-06-30
2020-02,29,952545.2078951115,759163.724163207,0.20689655172413793,tune,2019-06-30
2020-03,31,689495.4516242159,300379.5927727804,0.41935483870967744,tune,2019-06-30
2020-04,30,1277215.409647721,497356.6253375575,0.2,tune,2019-06-30
2020-05,31,1695928.128941031,1508476.2696960596,0.1935483870967742,tune,2019-06-30
2020-06,30,1834952.2803285813,1834952.2803285813,0.0,tune,2019-06-30
2020-07,31,560063.0430172454,-33916.423540465046,0.5161290322580645,tune,2019-06-30
2020-08,31,939116.3211025082,-140681.88687950926,0.3870967741935484,tune,2019-06-30
2020-09,30,769246.034622261,582308.7792275363,0.1,tune,2019-06-30
2020-10,31,620189.3906203143,587642.8441247576,0.06451612903225806,tune,2019-06-30
2020-11,30,488010.07173199294,451549.52078662266,0.1,tune,2019-06-30
2020-12,29,396894.30205811607,249437.68370892954,0.3103448275862069,tune,2019-06-30
2020-07,31,749347.5415349926,-634905.748744934,0.8064516129032258,tune,2020-06-30
2020-08,31,1888997.337091668,-1888997.337091668,1.0,tune,2020-06-30
2020-09,30,617316.6083083525,-559437.2871917635,0.7666666666666667,tune,2020-06-30
2020-10,31,485492.3969967061,-394415.6069846335,0.8064516129032258,tune,2020-06-30
2020-11,30,268698.16390846204,-167086.9600080842,0.7666666666666667,tune,2020-06-30
2020-12,31,317892.3777537077,-216587.6641163245,0.7096774193548387,tune,2020-06-30
2021-01,31,394489.74997543363,-339814.18437158363,0.7419354838709677,tune,2020-06-30
2021-02,28,839701.3761146766,-820291.0210047615,0.9285714285714286,tune,2020-06-30
