Date,actual,pred,error,abs_error,ape,horizon_day,stage,fold,year_month
2018-07-01,8830377.17,8390214.412324153,-440162.75767584704,440162.75767584704,0.04984642775749601,1,tune,2018-06-30,2018-07
2018-07-02,8070014.23,8685993.270568652,615979.0405686516,615979.0405686516,0.0763293623794083,2,tune,2018-06-30,2018-07
2018-07-03,9033060.75,7411702.397389291,-1621358.3526107091,1621358.3526107091,0.179491580703773,3,tune,2018-06-30,2018-07
2018-07-04,2096565.2,3414547.9706756026,1317982.7706756026,1317982.7706756026,0.6286390571948837,4,tune,2018-06-30,2018-07
2018-07-05,2944993.36,2945563.366079792,570.006079792045,570.006079792045,0.00019355088793546383,5,tune,2018-06-30,2018-07
2018-07-06,2036989.14,3141199.876367066,1104210.7363670662,1104210.7363670662,0.5420798347344484,6,tune,2018-06-30,2018-07
2018-07-07,3253556.07,3138086.243258334,-115469.8267416656,115469.8267416656,0.03549034479730531,7,tune,2018-06-30,2018-07
2018-07-08,2752144.2,3649225.6626762114,897081.4626762113,897081.4626762113,0.3259572891115993,8,tune,2018-06-30,2018-07
2018-07-09,4430764.61,4157848.0799550586,-272916.5300449417,272916.5300449417,0.06159580886535556,9,tune,2018-06-30,2018-07
2018-07-10,5201122.72,4848919.470620008,-352203.24937999155,352203.24937999155,0.06771677353923146,10,tune,2018-06-30,2018-07
2018-07-11,6502831.07,4910330.113591679,-1592500.956408321,1592500.956408321,0.24489348397117763,11,tune,2018-06-30,2018-07
2018-07-12,6228668.47,4955210.957653863,-1273457.5123461364,1273457.5123461364,0.20445100240599842,12,tune,2018-06-30,2018-07
2018-07-13,4250921.4,4647398.893167714,396477.4931677133,396477.4931677133,0.09326860128905541,13,tune,2018-06-30,2018-07
2018-07-14,4868504.46,4568956.191205129,-299548.26879487094,299548.26879487094,0.06152777947642487,14,tune,2018-06-30,2018-07
2018-07-15,5393026.83,5099684.995747986,-293341.8342520138,293341.8342520138,0.054392800833148056,15,tune,2018-06-30,2018-07
2018-07-16,4994805.9,6118189.56380777,1123383.6638077693,1123383.6638077693,0.22491037415643503,16,tune,2018-06-30,2018-07
2018-07-17,5712604.18,5889781.939962072,177177.7599620726,177177.7599620726,0.031015234799984446,17,tune,2018-06-30,2018-07
