product_id,delivered_units,delivered_net_revenue,avg_unit_price
487,26583,303232685.02,11407.01519843509
438,25183,260042959.79,10326.131111861176
826,23010,259944873.06,11297.039246414603
475,18278,206526246.24,11299.170928985666
491,19767,194528930.24,9841.095271917842
604,29368,160013948.75,5448.581747139744
506,11024,149515171.1,13562.696943033381
2045,28866,142645142.66,4941.631769555879
396,14109,139419860.46,9881.625945141399
2332,26184,135818213.39,5187.068950122212
449,12279,135170577.75,11008.27247740044
927,24911,128611718.19,5162.848468146602
2331,19310,126441933.39,6548.002764888659
2054,19622,122895190.08,6263.132712261747
609,12662,118022532.55,9321.002412731006
551,11474,115237954.62,10043.398520132474
635,11832,114170107.48,9649.265338066261
2055,16807,107043994.58,6369.012588802285
907,16018,104269466.89,6509.518472343613
496,10164,101281948.27,9964.772557064149
