product_id,delivered_units,delivered_net_revenue,avg_unit_price
487,26583,303232685,11965.15
438,25183,260042959.8,10815.9
826,23010,259944873.1,11809.45
475,18278,206526246.2,11758.78
491,19767,194528930.2,10279.36
604,29368,160013948.8,5702.23
506,11024,149515171.1,14180.7
2045,28866,142645142.7,5168.41
396,14109,139419860.5,10283.4
2332,26184,135818213.4,5418.78
449,12279,135170577.8,11590.93
927,24911,128611718.2,5398.11
2331,19310,126441933.4,6849.27
2054,19622,122895190.1,6553.24
609,12662,118022532.6,9710.25
551,11474,115237954.6,10454.85
635,11832,114170107.5,10068.39
2055,16807,107043994.6,6683.81
907,16018,104269466.9,6825.19
496,10164,101281948.3,10482.44
