signup_month,customers_signed_up,customers_who_ordered,total_orders,delivered_orders
2012-01-01,2,1,3,2
2012-02-01,21,19,144,113
2012-03-01,28,15,107,88
2012-04-01,40,30,213,166
2012-05-01,67,47,376,295
2012-06-01,73,55,384,303
2012-07-01,90,66,362,275
2012-08-01,96,76,492,401
2012-09-01,118,89,735,596
2012-10-01,146,94,749,589
2012-11-01,139,95,687,557
2012-12-01,137,87,610,488
2013-01-01,177,131,1124,906
2013-02-01,175,132,878,708
2013-03-01,214,155,985,786
2013-04-01,215,166,1281,1030
2013-05-01,234,178,1223,966
2013-06-01,234,179,1269,1034
2013-07-01,250,191,1202,985
2013-08-01,253,192,1249,1023
2013-09-01,285,222,1930,1580
2013-10-01,307,230,1587,1261
2013-11-01,308,219,1575,1253
2013-12-01,337,256,1865,1482
2014-01-01,336,240,1850,1465
2014-02-01,323,249,1897,1489
2014-03-01,383,278,2010,1614
2014-04-01,369,286,1846,1482
2014-05-01,384,298,2123,1665
2014-06-01,382,283,2216,1747
2014-07-01,441,323,2356,1872
2014-08-01,446,335,2509,2003
2014-09-01,478,341,2264,1842
2014-10-01,471,355,2809,2258
2014-11-01,491,367,2457,1976
2014-12-01,530,384,2828,2239
2015-01-01,483,353,2442,1980
2015-02-01,463,330,2494,1989
2015-03-01,561,407,2814,2272
2015-04-01,573,413,2986,2403
2015-05-01,612,434,2761,2181
2015-06-01,547,407,2980,2388
2015-07-01,646,476,3492,2769
2015-08-01,634,459,3103,2472
2015-09-01,619,454,3428,2714
2015-10-01,681,484,3409,2744
2015-11-01,608,466,3539,2799
2015-12-01,706,535,3872,3062
2016-01-01,726,521,3668,2902
2016-02-01,697,494,3471,2744
2016-03-01,711,544,4008,3202
2016-04-01,718,532,3730,2925
2016-05-01,760,530,3818,3053
2016-06-01,732,546,3889,3097
2016-07-01,790,602,4269,3384
2016-08-01,822,609,4482,3576
2016-09-01,824,609,4265,3376
2016-10-01,790,575,4112,3305
2016-11-01,820,630,4601,3704
2016-12-01,812,602,4139,3304
2017-01-01,853,624,4507,3607
2017-02-01,779,584,4008,3246
2017-03-01,877,648,4450,3528
2017-04-01,903,680,4863,3912
2017-05-01,949,710,5274,4242
2017-06-01,905,673,4385,3502
2017-07-01,957,726,5198,4147
2017-08-01,935,687,4810,3870
2017-09-01,928,685,5105,4045
2017-10-01,966,733,4886,3851
2017-11-01,1015,757,5553,4434
2017-12-01,1011,754,5602,4481
2018-01-01,1021,757,5227,4143
2018-02-01,892,679,4849,3915
2018-03-01,1068,812,5548,4452
2018-04-01,1043,781,5702,4560
2018-05-01,1103,788,5878,4656
2018-06-01,1079,791,5569,4446
2018-07-01,1106,848,6289,5065
2018-08-01,1147,846,5889,4729
2018-09-01,1094,801,5727,4563
2018-10-01,1120,821,5749,4546
2018-11-01,1130,844,5983,4805
2018-12-01,1208,898,6687,5345
2019-01-01,1206,885,6245,4964
2019-02-01,1130,836,6593,5248
2019-03-01,1214,897,6330,5103
2019-04-01,1196,891,6037,4804
2019-05-01,1257,931,7049,5678
2019-06-01,1208,865,6021,4795
2019-07-01,1278,960,6552,5231
2019-08-01,1313,958,6711,5303
2019-09-01,1268,933,6869,5436
2019-10-01,1312,977,6519,5158
2019-11-01,1301,977,7277,5848
2019-12-01,1375,1001,7440,5936
2020-01-01,1360,1013,7169,5750
2020-02-01,1290,953,7033,5620
2020-03-01,1428,1059,8030,6440
2020-04-01,1363,1013,7363,5906
