order_month,new_ordering_customers,repeat_ordering_customers,total_orders
2012-07-01 00:00:00+07:00,4883,0,5294
2012-08-01 00:00:00+07:00,5139,673,6427
2012-09-01 00:00:00+07:00,3621,1172,5219
2012-10-01 00:00:00+07:00,2629,1255,4285
2012-11-01 00:00:00+07:00,2284,1440,4142
2012-12-01 00:00:00+07:00,3512,2298,6684
2013-01-01 00:00:00+07:00,1683,1648,3665
2013-02-01 00:00:00+07:00,2118,2094,4661
2013-03-01 00:00:00+07:00,2896,3023,6590
2013-04-01 00:00:00+07:00,3545,4343,8874
2013-05-01 00:00:00+07:00,3025,4418,8314
2013-06-01 00:00:00+07:00,2731,4797,8469
2013-07-01 00:00:00+07:00,2231,4433,7403
2013-08-01 00:00:00+07:00,2135,4733,7630
2013-09-01 00:00:00+07:00,1353,3787,5648
2013-10-01 00:00:00+07:00,1045,3208,4690
2013-11-01 00:00:00+07:00,849,2945,4239
2013-12-01 00:00:00+07:00,1488,4240,6666
2014-01-01 00:00:00+07:00,746,2982,4151
2014-02-01 00:00:00+07:00,745,3128,4256
2014-03-01 00:00:00+07:00,1568,5240,7653
2014-04-01 00:00:00+07:00,1943,6503,9627
2014-05-01 00:00:00+07:00,1779,6788,9744
2014-06-01 00:00:00+07:00,1450,6113,8474
2014-07-01 00:00:00+07:00,1203,5513,7450
2014-08-01 00:00:00+07:00,1179,5818,7807
2014-09-01 00:00:00+07:00,692,4103,5264
2014-10-01 00:00:00+07:00,610,3715,4771
2014-11-01 00:00:00+07:00,555,3380,4421
2014-12-01 00:00:00+07:00,823,5166,7027
2015-01-01 00:00:00+07:00,405,2893,3606
2015-02-01 00:00:00+07:00,517,3777,4715
2015-03-01 00:00:00+07:00,825,5385,6905
2015-04-01 00:00:00+07:00,1337,7793,10502
2015-05-01 00:00:00+07:00,1103,7113,9273
2015-06-01 00:00:00+07:00,962,6580,8387
2015-07-01 00:00:00+07:00,814,5715,7216
2015-08-01 00:00:00+07:00,811,6056,7717
2015-09-01 00:00:00+07:00,670,5698,7091
2015-10-01 00:00:00+07:00,483,4434,5441
2015-11-01 00:00:00+07:00,348,3937,4838
2015-12-01 00:00:00+07:00,553,5381,6931
2016-01-01 00:00:00+07:00,323,3609,4363
2016-02-01 00:00:00+07:00,372,3939,4703
2016-03-01 00:00:00+07:00,600,5643,6924
2016-04-01 00:00:00+07:00,977,8222,10426
2016-05-01 00:00:00+07:00,819,7945,9965
2016-06-01 00:00:00+07:00,767,7713,9595
2016-07-01 00:00:00+07:00,591,5977,7236
2016-08-01 00:00:00+07:00,628,6652,8065
2016-09-01 00:00:00+07:00,366,4790,5650
2016-10-01 00:00:00+07:00,283,3880,4548
2016-11-01 00:00:00+07:00,258,3796,4500
2016-12-01 00:00:00+07:00,408,5040,6272
2017-01-01 00:00:00+07:00,207,2950,3451
2017-02-01 00:00:00+07:00,212,3454,3976
2017-03-01 00:00:00+07:00,467,5885,7049
2017-04-01 00:00:00+07:00,606,7083,8619
2017-05-01 00:00:00+07:00,639,7790,9553
2017-06-01 00:00:00+07:00,707,8189,10078
2017-07-01 00:00:00+07:00,492,6105,7234
2017-08-01 00:00:00+07:00,435,6001,7091
2017-09-01 00:00:00+07:00,301,4692,5410
2017-10-01 00:00:00+07:00,244,3965,4590
2017-11-01 00:00:00+07:00,224,3508,4067
2017-12-01 00:00:00+07:00,255,4123,4892
2018-01-01 00:00:00+07:00,159,2826,3208
2018-02-01 00:00:00+07:00,200,3382,3859
2018-03-01 00:00:00+07:00,375,5465,6418
2018-04-01 00:00:00+07:00,477,6894,8220
2018-05-01 00:00:00+07:00,592,8125,9841
2018-06-01 00:00:00+07:00,622,8875,10851
2018-07-01 00:00:00+07:00,398,6410,7452
2018-08-01 00:00:00+07:00,303,5679,6510
2018-09-01 00:00:00+07:00,172,3706,4129
2018-10-01 00:00:00+07:00,149,2914,3263
2018-11-01 00:00:00+07:00,111,2258,2518
2018-12-01 00:00:00+07:00,159,2817,3241
2019-01-01 00:00:00+07:00,102,2132,2378
2019-02-01 00:00:00+07:00,121,2534,2853
2019-03-01 00:00:00+07:00,200,3573,4029
2019-04-01 00:00:00+07:00,230,4008,4525
2019-05-01 00:00:00+07:00,203,4176,4689
2019-06-01 00:00:00+07:00,219,4247,4776
2019-07-01 00:00:00+07:00,184,3385,3784
2019-08-01 00:00:00+07:00,206,3888,4391
2019-09-01 00:00:00+07:00,125,2748,3026
2019-10-01 00:00:00+07:00,107,2140,2345
2019-11-01 00:00:00+07:00,76,1868,2031
2019-12-01 00:00:00+07:00,125,2449,2774
2020-01-01 00:00:00+07:00,54,1412,1537
2020-02-01 00:00:00+07:00,69,1691,1850
2020-03-01 00:00:00+07:00,181,3257,3635
2020-04-01 00:00:00+07:00,202,4189,4707
2020-05-01 00:00:00+07:00,195,3762,4221
2020-06-01 00:00:00+07:00,154,3249,3609
2020-07-01 00:00:00+07:00,153,3002,3293
2020-08-01 00:00:00+07:00,140,3290,3674
2020-09-01 00:00:00+07:00,115,2328,2543
2020-10-01 00:00:00+07:00,80,1848,2042
