order_month,new_ordering_customers,repeat_ordering_customers,total_orders
2012-07,4883.0,0.0,5294.0
2012-08,5139.0,673.0,6427.0
2012-09,3621.0,1172.0,5219.0
2012-10,2629.0,1255.0,4285.0
2012-11,2284.0,1440.0,4142.0
2012-12,3512.0,2298.0,6684.0
2013-01,1683.0,1648.0,3665.0
2013-02,2118.0,2094.0,4661.0
2013-03,2896.0,3023.0,6590.0
2013-04,3545.0,4343.0,8874.0
2013-05,3025.0,4418.0,8314.0
2013-06,2731.0,4797.0,8469.0
2013-07,2231.0,4433.0,7403.0
2013-08,2135.0,4733.0,7630.0
2013-09,1353.0,3787.0,5648.0
2013-10,1045.0,3208.0,4690.0
2013-11,849.0,2945.0,4239.0
2013-12,1488.0,4240.0,6666.0
2014-01,746.0,2982.0,4151.0
2014-02,745.0,3128.0,4256.0
2014-03,1568.0,5240.0,7653.0
2014-04,1943.0,6503.0,9627.0
2014-05,1779.0,6788.0,9744.0
2014-06,1450.0,6113.0,8474.0
2014-07,1203.0,5513.0,7450.0
2014-08,1179.0,5818.0,7807.0
2014-09,692.0,4103.0,5264.0
2014-10,610.0,3715.0,4771.0
2014-11,555.0,3380.0,4421.0
2014-12,823.0,5166.0,7027.0
2015-01,405.0,2893.0,3606.0
2015-02,517.0,3777.0,4715.0
2015-03,825.0,5385.0,6905.0
2015-04,1337.0,7793.0,10502.0
2015-05,1103.0,7113.0,9273.0
2015-06,962.0,6580.0,8387.0
2015-07,814.0,5715.0,7216.0
2015-08,811.0,6056.0,7717.0
2015-09,670.0,5698.0,7091.0
2015-10,483.0,4434.0,5441.0
2015-11,348.0,3937.0,4838.0
2015-12,553.0,5381.0,6931.0
2016-01,323.0,3609.0,4363.0
2016-02,372.0,3939.0,4703.0
2016-03,600.0,5643.0,6924.0
2016-04,977.0,8222.0,10426.0
2016-05,819.0,7945.0,9965.0
2016-06,767.0,7713.0,9595.0
2016-07,591.0,5977.0,7236.0
2016-08,628.0,6652.0,8065.0
2016-09,366.0,4790.0,5650.0
2016-10,283.0,3880.0,4548.0
2016-11,258.0,3796.0,4500.0
2016-12,408.0,5040.0,6272.0
2017-01,207.0,2950.0,3451.0
2017-02,212.0,3454.0,3976.0
2017-03,467.0,5885.0,7049.0
2017-04,606.0,7083.0,8619.0
2017-05,639.0,7790.0,9553.0
2017-06,707.0,8189.0,10078.0
2017-07,492.0,6105.0,7234.0
2017-08,435.0,6001.0,7091.0
2017-09,301.0,4692.0,5410.0
2017-10,244.0,3965.0,4590.0
2017-11,224.0,3508.0,4067.0
2017-12,255.0,4123.0,4892.0
2018-01,159.0,2826.0,3208.0
2018-02,200.0,3382.0,3859.0
2018-03,375.0,5465.0,6418.0
2018-04,477.0,6894.0,8220.0
2018-05,592.0,8125.0,9841.0
2018-06,622.0,8875.0,10851.0
2018-07,398.0,6410.0,7452.0
2018-08,303.0,5679.0,6510.0
2018-09,172.0,3706.0,4129.0
2018-10,149.0,2914.0,3263.0
2018-11,111.0,2258.0,2518.0
2018-12,159.0,2817.0,3241.0
2019-01,102.0,2132.0,2378.0
2019-02,121.0,2534.0,2853.0
2019-03,200.0,3573.0,4029.0
2019-04,230.0,4008.0,4525.0
2019-05,203.0,4176.0,4689.0
2019-06,219.0,4247.0,4776.0
2019-07,184.0,3385.0,3784.0
2019-08,206.0,3888.0,4391.0
2019-09,125.0,2748.0,3026.0
2019-10,107.0,2140.0,2345.0
2019-11,76.0,1868.0,2031.0
2019-12,125.0,2449.0,2774.0
2020-01,54.0,1412.0,1537.0
2020-02,69.0,1691.0,1850.0
2020-03,181.0,3257.0,3635.0
2020-04,202.0,4189.0,4707.0
2020-05,195.0,3762.0,4221.0
2020-06,154.0,3249.0,3609.0
2020-07,153.0,3002.0,3293.0
2020-08,140.0,3290.0,3674.0
2020-09,115.0,2328.0,2543.0
2020-10,80.0,1848.0,2042.0
2020-11,55.0,1440.0,1563.0
2020-12,102.0,1996.0,2207.0
2021-01,42.0,1281.0,1372.0
2021-02,74.0,1815.0,1976.0
2021-03,162.0,3582.0,4006.0
2021-04,168.0,3914.0,4346.0
2021-05,186.0,3820.0,4267.0
2021-06,164.0,3597.0,3963.0
2021-07,122.0,3004.0,3292.0
2021-08,122.0,2946.0,3225.0
2021-09,87.0,2233.0,2431.0
2021-10,58.0,1696.0,1831.0
2021-11,45.0,1496.0,1630.0
2021-12,110.0,1950.0,2186.0
2022-01,53.0,1574.0,1719.0
2022-02,78.0,1994.0,2182.0
2022-03,171.0,3794.0,4231.0
2022-04,162.0,4034.0,4489.0
2022-05,163.0,3664.0,4076.0
2022-06,170.0,3668.0,4068.0
2022-07,113.0,2871.0,3122.0
2022-08,132.0,2979.0,3274.0
2022-09,92.0,2448.0,2643.0
2022-10,51.0,1960.0,2097.0
2022-11,52.0,1589.0,1703.0
2022-12,85.0,2189.0,2400.0
