age_group,payment_method,delivered_orders,avg_delivered_order_value
18-24,paypal,10811,24338.52
18-24,cod,9210,24326.99
18-24,credit_card,40280,24210.42
18-24,apple_pay,7384,24030.45
18-24,bank_transfer,3532,23878.23
25-34,paypal,23691,24493.22
25-34,cod,20006,24457.45
25-34,credit_card,85244,24226.75
25-34,bank_transfer,7740,24195.64
25-34,apple_pay,15621,24138.09
35-44,apple_pay,13928,24428.43
35-44,paypal,20711,24402.04
35-44,cod,17624,24289.53
35-44,credit_card,76747,24047.51
35-44,bank_transfer,7078,23836.46
45-54,bank_transfer,4964,24445.37
45-54,paypal,15031,24405.38
45-54,credit_card,55968,24388.72
45-54,cod,13027,24101.3
45-54,apple_pay,10053,24028.01
55+,bank_transfer,2949,24365.31
55+,cod,7488,24217.21
55+,paypal,8945,24203.73
55+,apple_pay,5850,24028.84
55+,credit_card,32834,23999.15
