year_quarter,delivered_orders,delivered_units,delivered_net_revenue
2012-Q3,13567,67848.0,334361877.0
2012-Q4,12096,65319.0,257410611.3
2013-Q1,11949,61336.0,272559820.33
2013-Q2,20514,102741.0,464347253.06
2013-Q3,16569,83405.0,303862733.95
2013-Q4,12556,67089.0,218393382.2
2014-Q1,12991,66647.0,300323857.46
2014-Q2,22186,111101.0,530309480.78
2014-Q3,16501,82220.0,369045385.38
2014-Q4,13010,68842.0,233384557.6
2015-Q1,12228,62495.0,296204067.65
2015-Q2,22521,111678.0,553953396.09
2015-Q3,17616,86730.0,330423026.7
2015-Q4,13798,72300.0,255423526.78
2016-Q1,12767,64130.0,331574421.01
2016-Q2,24084,117229.0,617302539.85
2016-Q3,16856,82988.0,419281454.51
2016-Q4,12360,64815.0,251347240.27
2017-Q1,11674,58186.0,305054861.32
2017-Q2,22849,111445.0,597063149.6
2017-Q3,15738,76649.0,325198704.19
2017-Q4,10883,55736.0,234659583.84
2018-Q1,10792,53076.0,288393766.97
2018-Q2,23254,111574.0,587380932.25
2018-Q3,14488,69227.0,373550366.59
2018-Q4,7206,36527.0,169950063.46
2019-Q1,7429,36212.0,215890581.72
2019-Q2,11176,54027.0,323538255.02
2019-Q3,8918,42988.0,195503708.19
2019-Q4,5736,28610.0,129397257.01
2020-Q1,5641,27546.0,173867097.05
2020-Q2,10022,47177.0,294009114.73
2020-Q3,7624,36168.0,221507971.43
2020-Q4,4688,22894.0,117030515.93
2021-Q1,5681,27130.0,166425204.13
2021-Q2,9800,46242.0,306192067.0
2021-Q3,6913,32476.0,175424201.19
2021-Q4,4347,21694.0,118042587.31
2022-Q1,6304,30302.0,208943461.68
2022-Q2,9715,45530.0,313328517.06
2022-Q3,6924,32627.0,213514072.78
2022-Q4,4745,22974.0,124801284.83
