order_month,total_orders,promo_orders,promo_order_rate_pct
2012-07-01 00:00:00+07:00,5294,0,0.0
2012-08-01 00:00:00+07:00,6427,0,0.0
2012-09-01 00:00:00+07:00,5219,0,0.0
2012-10-01 00:00:00+07:00,4285,0,0.0
2012-11-01 00:00:00+07:00,4142,0,0.0
2012-12-01 00:00:00+07:00,6684,0,0.0
2013-01-01 00:00:00+07:00,3665,17,0.46
2013-02-01 00:00:00+07:00,4661,2104,45.14
2013-03-01 00:00:00+07:00,6590,4058,61.58
2013-04-01 00:00:00+07:00,8874,3619,40.78
2013-05-01 00:00:00+07:00,8314,0,0.0
2013-06-01 00:00:00+07:00,8469,2364,27.91
2013-07-01 00:00:00+07:00,7403,4879,65.91
2013-08-01 00:00:00+07:00,7630,4392,57.56
2013-09-01 00:00:00+07:00,5648,5423,96.02
2013-10-01 00:00:00+07:00,4690,361,7.7
2013-11-01 00:00:00+07:00,4239,1677,39.56
2013-12-01 00:00:00+07:00,6666,6644,99.67
2014-01-01 00:00:00+07:00,4151,664,16.0
2014-02-01 00:00:00+07:00,4256,0,0.0
2014-03-01 00:00:00+07:00,7653,3933,51.39
2014-04-01 00:00:00+07:00,9627,4434,46.06
2014-05-01 00:00:00+07:00,9744,0,0.0
2014-06-01 00:00:00+07:00,8474,2158,25.47
2014-07-01 00:00:00+07:00,7450,4236,56.86
2014-08-01 00:00:00+07:00,7807,72,0.92
2014-09-01 00:00:00+07:00,5264,4849,92.12
2014-10-01 00:00:00+07:00,4771,143,3.0
2014-11-01 00:00:00+07:00,4421,2020,45.69
2014-12-01 00:00:00+07:00,7027,7001,99.63
2015-01-01 00:00:00+07:00,3606,282,7.82
2015-02-01 00:00:00+07:00,4715,1839,39.0
2015-03-01 00:00:00+07:00,6905,3785,54.82
2015-04-01 00:00:00+07:00,10502,4890,46.56
2015-05-01 00:00:00+07:00,9273,0,0.0
2015-06-01 00:00:00+07:00,8387,2111,25.17
2015-07-01 00:00:00+07:00,7216,4296,59.53
2015-08-01 00:00:00+07:00,7717,4657,60.35
2015-09-01 00:00:00+07:00,7091,6841,96.47
2015-10-01 00:00:00+07:00,5441,177,3.25
2015-11-01 00:00:00+07:00,4838,2352,48.62
2015-12-01 00:00:00+07:00,6931,6888,99.38
2016-01-01 00:00:00+07:00,4363,247,5.66
2016-02-01 00:00:00+07:00,4703,0,0.0
2016-03-01 00:00:00+07:00,6924,3620,52.28
2016-04-01 00:00:00+07:00,10426,4395,42.15
2016-05-01 00:00:00+07:00,9965,0,0.0
2016-06-01 00:00:00+07:00,9595,2302,23.99
2016-07-01 00:00:00+07:00,7236,4234,58.51
2016-08-01 00:00:00+07:00,8065,26,0.32
2016-09-01 00:00:00+07:00,5650,5123,90.67
2016-10-01 00:00:00+07:00,4548,130,2.86
2016-11-01 00:00:00+07:00,4500,2044,45.42
2016-12-01 00:00:00+07:00,6272,6246,99.59
2017-01-01 00:00:00+07:00,3451,169,4.9
2017-02-01 00:00:00+07:00,3976,1401,35.24
2017-03-01 00:00:00+07:00,7049,4231,60.02
2017-04-01 00:00:00+07:00,8619,4002,46.43
2017-05-01 00:00:00+07:00,9553,0,0.0
2017-06-01 00:00:00+07:00,10078,2673,26.52
2017-07-01 00:00:00+07:00,7234,4619,63.85
2017-08-01 00:00:00+07:00,7091,4632,65.32
2017-09-01 00:00:00+07:00,5410,5164,95.45
2017-10-01 00:00:00+07:00,4590,172,3.75
2017-11-01 00:00:00+07:00,4067,1718,42.24
2017-12-01 00:00:00+07:00,4892,4873,99.61
2018-01-01 00:00:00+07:00,3208,301,9.38
2018-02-01 00:00:00+07:00,3859,0,0.0
2018-03-01 00:00:00+07:00,6418,3490,54.38
2018-04-01 00:00:00+07:00,8220,3397,41.33
2018-05-01 00:00:00+07:00,9841,0,0.0
2018-06-01 00:00:00+07:00,10851,2905,26.77
2018-07-01 00:00:00+07:00,7452,4791,64.29
2018-08-01 00:00:00+07:00,6510,72,1.11
2018-09-01 00:00:00+07:00,4129,3864,93.58
2018-10-01 00:00:00+07:00,3263,113,3.46
2018-11-01 00:00:00+07:00,2518,996,39.56
2018-12-01 00:00:00+07:00,3241,3221,99.38
2019-01-01 00:00:00+07:00,2378,139,5.85
2019-02-01 00:00:00+07:00,2853,811,28.43
2019-03-01 00:00:00+07:00,4029,2363,58.65
2019-04-01 00:00:00+07:00,4525,2049,45.28
2019-05-01 00:00:00+07:00,4689,0,0.0
2019-06-01 00:00:00+07:00,4776,1238,25.92
2019-07-01 00:00:00+07:00,3784,2519,66.57
2019-08-01 00:00:00+07:00,4391,2937,66.89
2019-09-01 00:00:00+07:00,3026,2886,95.37
2019-10-01 00:00:00+07:00,2345,77,3.28
2019-11-01 00:00:00+07:00,2031,821,40.42
2019-12-01 00:00:00+07:00,2774,2763,99.6
2020-01-01 00:00:00+07:00,1537,90,5.86
2020-02-01 00:00:00+07:00,1850,0,0.0
2020-03-01 00:00:00+07:00,3635,2093,57.58
2020-04-01 00:00:00+07:00,4707,2298,48.82
2020-05-01 00:00:00+07:00,4221,0,0.0
2020-06-01 00:00:00+07:00,3609,907,25.13
2020-07-01 00:00:00+07:00,3293,2011,61.07
2020-08-01 00:00:00+07:00,3674,45,1.22
2020-09-01 00:00:00+07:00,2543,2364,92.96
2020-10-01 00:00:00+07:00,2042,60,2.94
