order_month,total_orders,promo_orders,promo_order_rate_pct
2012-07,5294,0.0,0.0
2012-08,6427,0.0,0.0
2012-09,5219,0.0,0.0
2012-10,4285,0.0,0.0
2012-11,4142,0.0,0.0
2012-12,6684,0.0,0.0
2013-01,3665,17.0,0.4638
2013-02,4661,2104.0,45.1405
2013-03,6590,4058.0,61.5781
2013-04,8874,3619.0,40.7821
2013-05,8314,0.0,0.0
2013-06,8469,2364.0,27.9136
2013-07,7403,4879.0,65.9057
2013-08,7630,4392.0,57.5623
2013-09,5648,5423.0,96.0163
2013-10,4690,361.0,7.6972
2013-11,4239,1677.0,39.5612
2013-12,6666,6644.0,99.67
2014-01,4151,664.0,15.9961
2014-02,4256,0.0,0.0
2014-03,7653,3933.0,51.3916
2014-04,9627,4434.0,46.058
2014-05,9744,0.0,0.0
2014-06,8474,2158.0,25.4661
2014-07,7450,4236.0,56.8591
2014-08,7807,72.0,0.9222
2014-09,5264,4849.0,92.1163
2014-10,4771,143.0,2.9973
2014-11,4421,2020.0,45.691
2014-12,7027,7001.0,99.63
2015-01,3606,282.0,7.8203
2015-02,4715,1839.0,39.0032
2015-03,6905,3785.0,54.8154
2015-04,10502,4890.0,46.5626
2015-05,9273,0.0,0.0
2015-06,8387,2111.0,25.1699
2015-07,7216,4296.0,59.5344
2015-08,7717,4657.0,60.3473
2015-09,7091,6841.0,96.4744
2015-10,5441,177.0,3.2531
2015-11,4838,2352.0,48.6151
2015-12,6931,6888.0,99.3796
2016-01,4363,247.0,5.6612
2016-02,4703,0.0,0.0
2016-03,6924,3620.0,52.2819
2016-04,10426,4395.0,42.1542
2016-05,9965,0.0,0.0
2016-06,9595,2302.0,23.9917
2016-07,7236,4234.0,58.513
2016-08,8065,26.0,0.3224
2016-09,5650,5123.0,90.6726
2016-10,4548,130.0,2.8584
2016-11,4500,2044.0,45.4222
2016-12,6272,6246.0,99.5855
2017-01,3451,169.0,4.8971
2017-02,3976,1401.0,35.2364
2017-03,7049,4231.0,60.0227
2017-04,8619,4002.0,46.4323
2017-05,9553,0.0,0.0
2017-06,10078,2673.0,26.5231
2017-07,7234,4619.0,63.8513
2017-08,7091,4632.0,65.3222
2017-09,5410,5164.0,95.4529
2017-10,4590,172.0,3.7473
2017-11,4067,1718.0,42.2424
2017-12,4892,4873.0,99.6116
2018-01,3208,301.0,9.3828
2018-02,3859,0.0,0.0
2018-03,6418,3490.0,54.3783
2018-04,8220,3397.0,41.326
2018-05,9841,0.0,0.0
2018-06,10851,2905.0,26.7717
2018-07,7452,4791.0,64.2915
2018-08,6510,72.0,1.106
2018-09,4129,3864.0,93.582
2018-10,3263,113.0,3.4631
2018-11,2518,996.0,39.5552
2018-12,3241,3221.0,99.3829
2019-01,2378,139.0,5.8452
2019-02,2853,811.0,28.4262
2019-03,4029,2363.0,58.6498
2019-04,4525,2049.0,45.2818
2019-05,4689,0.0,0.0
2019-06,4776,1238.0,25.9213
2019-07,3784,2519.0,66.5698
2019-08,4391,2937.0,66.8868
2019-09,3026,2886.0,95.3734
2019-10,2345,77.0,3.2836
2019-11,2031,821.0,40.4234
2019-12,2774,2763.0,99.6035
2020-01,1537,90.0,5.8556
2020-02,1850,0.0,0.0
2020-03,3635,2093.0,57.5791
2020-04,4707,2298.0,48.8209
2020-05,4221,0.0,0.0
2020-06,3609,907.0,25.1316
2020-07,3293,2011.0,61.0689
2020-08,3674,45.0,1.2248
2020-09,2543,2364.0,92.9611
2020-10,2042,60.0,2.9383
2020-11,1563,643.0,41.1388
2020-12,2207,2203.0,99.8188
2021-01,1372,69.0,5.0292
2021-02,1976,443.0,22.419
2021-03,4006,2182.0,54.4683
2021-04,4346,2143.0,49.3097
2021-05,4267,0.0,0.0
2021-06,3963,944.0,23.8203
2021-07,3292,2041.0,61.9988
2021-08,3225,2157.0,66.8837
2021-09,2431,2334.0,96.0099
2021-10,1831,142.0,7.7553
2021-11,1630,665.0,40.7975
2021-12,2186,2183.0,99.8628
2022-01,1719,182.0,10.5876
2022-02,2182,0.0,0.0
2022-03,4231,2239.0,52.9189
2022-04,4489,2293.0,51.0804
2022-05,4076,0.0,0.0
2022-06,4068,994.0,24.4346
2022-07,3122,1973.0,63.1967
2022-08,3274,2.0,0.0611
2022-09,2643,2448.0,92.622
2022-10,2097,16.0,0.763
2022-11,1703,753.0,44.2161
2022-12,2400,2385.0,99.375
