payment_method,order_status,order_count
apple_pay,delivered,52836
apple_pay,cancelled,5190
apple_pay,returned,3269
apple_pay,shipped,1405
apple_pay,paid,1331
apple_pay,created,732
bank_transfer,delivered,26263
bank_transfer,cancelled,2535
bank_transfer,returned,1605
bank_transfer,shipped,697
bank_transfer,paid,688
bank_transfer,created,343
cod,delivered,67355
cod,cancelled,15468
cod,returned,8620
cod,paid,2127
cod,shipped,2029
cod,created,1082
credit_card,delivered,291073
credit_card,cancelled,28452
credit_card,returned,17807
credit_card,shipped,7587
credit_card,paid,7405
credit_card,created,4028
paypal,delivered,79189
paypal,cancelled,7817
paypal,returned,4841
paypal,shipped,2055
paypal,paid,2026
paypal,created,1090
