zip,delivered_orders,delivered_net_revenue,avg_delivered_order_value
90250,331,12709851.96,38398.34429003021
12225,280,12046343.06,43022.65378571428
93065,452,8925325.71,19746.295818584073
92592,404,7889187.78,19527.692524752474
32174,238,6927651.07,29107.777605042018
33166,289,6592640.02,22811.903183391
59405,197,6524227.1,33117.90406091371
28540,249,6440087.21,25863.8040562249
37042,229,6410066.36,27991.55615720524
95687,248,6204336.87,25017.487379032256
95630,268,6160912.91,22988.481007462688
93536,304,6114361.12,20113.03
92882,315,5893908.12,18710.81942857143
44460,222,5803971.31,26144.01490990991
57702,174,5548144.79,31885.88959770115
