zip,delivered_orders,delivered_net_revenue,avg_delivered_order_value
90250,331,12709851.96,38398.34
12225,280,12046343.06,43022.65
93065,452,8925325.71,19746.3
92592,404,7889187.78,19527.69
32174,238,6927651.07,29107.78
33166,289,6592640.02,22811.9
59405,197,6524227.1,33117.9
28540,249,6440087.21,25863.8
37042,229,6410066.36,27991.56
95687,248,6204336.87,25017.49
95630,268,6160912.91,22988.48
93536,304,6114361.12,20113.03
92882,315,5893908.12,18710.82
44460,222,5803971.31,26144.01
57702,174,5548144.79,31885.89
